284,174,yellow,-1.053971,-0.048533,6.593277
405,176,blue,0.841190,-0.008566,4.761811
266,177,blue,-0.999573,0.004677,4.761811
374,178,blue,0.484492,0.020160,5.357038
520,178,yellow,3.546185,0.026880,7.142717
450,179,yellow,1.521657,0.032996,5.041918
615,180,yellow,8.149946,0.099913,10.714076
403,183,yellow,0.637594,0.065844,3.726635
298,188,blue,-0.370158,0.096653,3.061164
396,189,yellow,0.464145,0.105166,3.061164
213,201,blue,-0.665784,0.126198,1.863318
477,203,yellow,0.751261,0.146090,1.993316
186,256,yellow,-0.314086,0.160302,0.726378
548,266,blue,0.435652,0.188489,0.758519
