353,173,yellow,0.183071,-0.057954,5.714174
372,180,yellow,0.279813,0.030742,3.296639
447,180,blue,1.048043,0.033304,3.571359
194,182,orange,-1.212245,0.044002,2.955607
319,184,orange,-0.178620,0.058426,2.857087
407,185,yellow,0.503812,0.064231,2.764923
537,185,blue,1.664519,0.071113,3.061164
133,189,orange,-1.274252,0.075504,2.197759
291,193,orange,-0.286500,0.092813,2.040776
415,198,blue,0.398299,0.115682,1.948014
357,208,blue,0.061659,0.124562,1.428543
592,235,yellow,0.694384,0.161742,0.996658
