284,174,yellow,-0.526985,-0.024267,3.296639
405,176,blue,0.420595,-0.004283,2.380906
266,177,blue,-0.499787,0.002338,2.380906
374,178,blue,0.242246,0.010080,2.678519
520,178,yellow,1.773092,0.013440,3.571359
450,179,yellow,0.760828,0.016498,2.520959
615,180,yellow,4.074973,0.049956,5.357038
403,183,yellow,0.318797,0.032922,1.863318
298,188,blue,-0.185079,0.048326,1.530582
396,189,yellow,0.232073,0.052583,1.530582
213,201,blue,-0.332892,0.063099,0.931659
477,203,yellow,0.375630,0.073045,0.996658
186,256,yellow,-0.157043,0.080151,0.363189
548,266,blue,0.217826,0.094245,0.379259
