68,215,blue,-15.951715,1.537886,20.338118
105,220,blue,-6.865857,0.918943,10.169059
204,220,blue,-3.895857,0.918943,10.169059
339,216,blue,0.205524,1.065257,13.558745
216,232,yellow,14.143429,-5.115772,-40.676235
422,224,yellow,2.115314,0.831154,8.135247
37,299,orange,35.623428,-13.155772,-40.676235
134,263,orange,-2.180312,0.803252,3.697839
212,242,orange,-1.827929,0.789471,5.084529
489,302,orange,1.163536,0.844736,2.542265
438,254,orange,1.388508,0.861752,4.519582
407,233,orange,1.462762,0.872629,6.779373
427,214,orange2,3.725524,0.985257,13.558745
464,212,orange2,5.205523,0.905257,13.558745
492,220,orange2,4.744143,0.918943,10.169059
