67,215,blue,32.023430,-3.075772,-40.676235
100,219,blue,-7.015857,0.888943,10.169059
203,219,blue,15.703429,-3.555772,-40.676235
348,215,blue,0.565524,1.025257,13.558745
215,235,yellow,-2.377238,0.912629,6.779373
439,226,yellow,2.523314,0.879154,8.135247
110,275,orange,-2.066418,0.790444,3.128941
206,246,orange,-1.917929,0.849471,5.084529
424,235,orange,1.802762,0.912629,6.779373
466,264,orange,1.441507,0.814161,3.697839
440,213,orange2,4.245523,0.945257,13.558745
479,209,orange2,5.805524,0.785257,13.558745
512,220,orange2,5.344143,0.918943,10.169059
555,216,orange2,13.268286,1.597886,20.338118
